candidate_id,symbol_or_field,kind,defining_file,disposition,final_dispatch_reachable,secondary_dispatch_reachable,directly_called,address_taken,macro_referenced,active_state_read,active_state_write,active_state_address_taken,serialized_offset,serialized_size,import_dependency,export_dependency,reset_dependency,cpu_shut_dependency,diagnostic_stop_dependency,io_dependency,test_dependency,frozen_reference_dependency,proposed_deletion_group,evidence
cts.base.i286op,i286op[0x0f] -> i286c_cts,constructor_base_entry,i286c/i286c_mn.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,copied during construction then necessarily overwritten before immutability snapshot
cts.base.i286op_repe,i286op_repe[0x0f] -> i286c_cts,constructor_base_entry,i286c/i286c_mn.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,copied during construction then necessarily overwritten before immutability snapshot
cts.base.i286op_repne,i286op_repne[0x0f] -> i286c_cts,constructor_base_entry,i286c/i286c_mn.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,copied during construction then necessarily overwritten before immutability snapshot
cts.build.cmake,VAEG_CORE_SOURCES:i286c/i286c_0f.c,build_edge,CMakeLists.txt,unreachable_286_candidate,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,M50-PM-CTS-SYSTEM,production build membership is required only by the three base-table references
cts.declaration,i286c_cts declaration,declaration,i286c/i286c.h,unreachable_286_candidate,no,no,no,no,no,no,no,no,-,-,no,no,no,no,no,no,yes,no,M50-PM-CTS-SYSTEM,only three base-table initializer references remain
cts.dispatcher,i286c_cts,function,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,no post-M48 final edge or direct caller; address occurs in three overwritten base slots
cts.entry.cts0_table.00,cts0_table[0x00] -> _sldt,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts0_table.01,cts0_table[0x01] -> _str,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts0_table.02,cts0_table[0x02] -> _lldt,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts0_table.03,cts0_table[0x03] -> _ltr,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts0_table.04,cts0_table[0x04] -> _verr,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts0_table.05,cts0_table[0x05] -> _verw,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts0_table.06,cts0_table[0x06] -> _verr,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts0_table.07,cts0_table[0x07] -> _verw,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts1_table.00,cts1_table[0x00] -> _sgdt,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts1_table.01,cts1_table[0x01] -> _sidt,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts1_table.02,cts1_table[0x02] -> _lgdt,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts1_table.03,cts1_table[0x03] -> _lidt,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts1_table.04,cts1_table[0x04] -> _smsw,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts1_table.05,cts1_table[0x05] -> _smsw,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts1_table.06,cts1_table[0x06] -> _lmsw,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.entry.cts1_table.07,cts1_table[0x07] -> _lmsw,secondary_dispatch_entry,i286c/i286c_0f.c,unreachable_286_candidate,no,no,no,yes,no,no,no,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,function pointer is reachable only through the unreachable CTS dispatcher
cts.handler.lgdt,_lgdt,function,i286c/i286c_0f.c,unreachable_286_candidate,no,no,indirect,yes,no,legacy-only,legacy-only,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,cts1_table[2]; absent from post-M48 final graph
cts.handler.lidt,_lidt,function,i286c/i286c_0f.c,unreachable_286_candidate,no,no,indirect,yes,no,legacy-only,legacy-only,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,cts1_table[3]; absent from post-M48 final graph
cts.handler.lldt,_lldt,function,i286c/i286c_0f.c,unreachable_286_candidate,no,no,indirect,yes,no,legacy-only,legacy-only,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,cts0_table[2]; absent from post-M48 final graph
cts.handler.lmsw,_lmsw,function,i286c/i286c_0f.c,unreachable_286_candidate,no,no,indirect,yes,no,legacy-only,legacy-only,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,"cts1_table[6,7]; absent from post-M48 final graph"
cts.handler.loadall286,_loadall286,function,i286c/i286c_0f.c,unreachable_286_candidate,no,no,yes,no,no,legacy-only,legacy-only,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,direct i286c_cts second-byte 05 call; absent from post-M48 final graph
cts.handler.ltr,_ltr,function,i286c/i286c_0f.c,unreachable_286_candidate,no,no,indirect,yes,no,legacy-only,legacy-only,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,cts0_table[3]; absent from post-M48 final graph
cts.handler.sgdt,_sgdt,function,i286c/i286c_0f.c,unreachable_286_candidate,no,no,indirect,yes,no,legacy-only,legacy-only,no,-,-,no,no,no,no,no,no,evidence-only,no,M50-PM-CTS-SYSTEM,cts1_table[0]; absent from post-M48 final graph
